method,window_id,quarter_label,f1,auc
EWC-only,D24,2023_Q4,0.965896744597803,0.9949428575999998
iCaRL,D01,2018_Q1,0.9683246099597151,0.9956754489999999
iCaRL,D02,2018_Q2,0.9523464614456013,0.9907220778
iCaRL,D03,2018_Q3,0.9549010953737511,0.99076472
iCaRL,D04,2018_Q4,0.9560881454077529,0.9911652043999999
iCaRL,D05,2019_Q1,0.9545037182035577,0.9914043546
iCaRL,D06,2019_Q2,0.9579229541278877,0.9920366522
iCaRL,D07,2019_Q3,0.9166413747632155,0.9586860718000001
iCaRL,D08,2019_Q4,0.8482740165908482,0.9540390904
iCaRL,D09,2020_Q1,0.8565857696832382,0.9718879018000001
iCaRL,D10,2020_Q2,0.8967988128047488,0.9800764922000001
iCaRL,D11,2020_Q3,0.9415096637973038,0.9847065152000001
iCaRL,D12,2020_Q4,0.9515341315315133,0.987228885
iCaRL,D13,2021_Q1,0.9576149935565049,0.9916651360000001
iCaRL,D14,2021_Q2,0.9625912226332101,0.9914005652
iCaRL,D15,2021_Q3,0.9628385471341592,0.9921135056000001
iCaRL,D16,2021_Q4,0.9641532508670984,0.992826536
iCaRL,D17,2022_Q1,0.9605232935537025,0.9913326296
iCaRL,D18,2022_Q2,0.9615579210523705,0.9920390058000002
iCaRL,D19,2022_Q3,0.9617859696512274,0.9918826222
iCaRL,D20,2022_Q4,0.9627124008466362,0.9926335976
iCaRL,D21,2023_Q1,0.9639391112787028,0.9928826346
iCaRL,D22,2023_Q2,0.9648986425880524,0.9932749047999999
iCaRL,D23,2023_Q3,0.9656083604863706,0.9938127179999999
iCaRL,D24,2023_Q4,0.9652402439629097,0.9936391204000001
GDumb,D01,2018_Q1,0.9683246099597151,0.9956754489999999
GDumb,D02,2018_Q2,0.9523464614456013,0.9907220778
GDumb,D03,2018_Q3,0.9536681472272076,0.9907768815999999
GDumb,D04,2018_Q4,0.9554307228614056,0.9911697133999999
GDumb,D05,2019_Q1,0.953837031180511,0.9909135262
GDumb,D06,2019_Q2,0.9538185475124722,0.9910946378000001
GDumb,D07,2019_Q3,0.9117720258835241,0.9585239884000001
GDumb,D08,2019_Q4,0.8870498958960863,0.973169333
GDumb,D09,2020_Q1,0.895249009592871,0.9635117885999999
GDumb,D10,2020_Q2,0.8945974084878723,0.9687881754000001
GDumb,D11,2020_Q3,0.9040658836666733,0.9710020979999999
GDumb,D12,2020_Q4,0.910266950621564,0.9725006638
GDumb,D13,2021_Q1,0.9138884046229734,0.9794423118
GDumb,D14,2021_Q2,0.9227569159038155,0.9800437938
GDumb,D15,2021_Q3,0.9225009586469959,0.9799310958
GDumb,D16,2021_Q4,0.9206847332030815,0.9800667535999998
GDumb,D17,2022_Q1,0.912395418731216,0.9749611467999999
GDumb,D18,2022_Q2,0.9130723426855549,0.9773503997999998
GDumb,D19,2022_Q3,0.9207598265272081,0.9765765459999999
GDumb,D20,2022_Q4,0.9203248134719684,0.9766019802000001
GDumb,D21,2023_Q1,0.9164376791538994,0.9758368102
GDumb,D22,2023_Q2,0.9201184927559676,0.978193213
GDumb,D23,2023_Q3,0.9208718479999195,0.9784099564000001
GDumb,D24,2023_Q4,0.9226085938414705,0.9779995206000001
