method,window_id,quarter_label,f1,auc,elapsed_s
iCaRL,D01,2018_Q1,0.9683246099597151,0.9956754489999999,0.7204282283782959
iCaRL,D02,2018_Q2,0.9523464614456013,0.9907220778,10.546315908432007
iCaRL,D03,2018_Q3,0.9549010953737511,0.99076472,10.469590663909912
iCaRL,D04,2018_Q4,0.9560881454077529,0.9911652043999999,10.389133214950562
iCaRL,D05,2019_Q1,0.9545037182035577,0.9914043546,10.427349090576172
iCaRL,D06,2019_Q2,0.9579229541278877,0.9920366522,10.466643571853638
iCaRL,D07,2019_Q3,0.9166413747632155,0.9586860718000001,10.421420335769653
iCaRL,D08,2019_Q4,0.8482740165908482,0.9540390904,10.413980484008789
iCaRL,D09,2020_Q1,0.8565857696832382,0.9718879018000001,10.817601203918457
iCaRL,D10,2020_Q2,0.8967988128047488,0.9800764922000001,10.743604183197021
iCaRL,D11,2020_Q3,0.9415096637973038,0.9847065152000001,10.531087875366211
iCaRL,D12,2020_Q4,0.9515341315315133,0.987228885,10.674912929534912
iCaRL,D13,2021_Q1,0.9576149935565049,0.9916651360000001,10.669763803482056
iCaRL,D14,2021_Q2,0.9625912226332101,0.9914005652,10.926547050476074
iCaRL,D15,2021_Q3,0.9628385471341592,0.9921135056000001,10.423698902130127
iCaRL,D16,2021_Q4,0.9641532508670984,0.992826536,10.455139636993408
iCaRL,D17,2022_Q1,0.9605232935537025,0.9913326296,10.498115062713623
iCaRL,D18,2022_Q2,0.9615579210523705,0.9920390058000002,10.628196477890015
iCaRL,D19,2022_Q3,0.9617859696512274,0.9918826222,10.844643354415894
iCaRL,D20,2022_Q4,0.9627124008466362,0.9926335976,10.37276029586792
iCaRL,D21,2023_Q1,0.9639391112787028,0.9928826346,10.41264295578003
iCaRL,D22,2023_Q2,0.9648986425880524,0.9932749047999999,10.3809494972229
iCaRL,D23,2023_Q3,0.9656083604863706,0.9938127179999999,10.448096752166748
iCaRL,D24,2023_Q4,0.9652402439629097,0.9936391204000001,10.442123889923096
