window_id,quarter_label,f1,auc,drift_type,mmd2,updated,update_loss,update_time_s,elapsed_s
D02,2018_Q2,0.9523464614456013,0.9907220778,none,0.0003794562781680444,False,0.0,0.0,7.78001856803894
D03,2018_Q3,0.9553902600396976,0.9909807650000002,none,0.0005967658902795714,False,0.0,0.0,8.032337665557861
D04,2018_Q4,0.9555829302246392,0.9910778845999999,none,0.00015497661017471742,False,0.0,0.0,8.179368734359741
D05,2019_Q1,0.9539378901872899,0.9908008232,none,0.00010147345943201103,False,0.0,0.0,8.116999864578247
D06,2019_Q2,0.9545563693120422,0.9907117151999999,none,0.0004316931512631239,False,0.0,0.0,8.16982650756836
D07,2019_Q3,0.90972265698366,0.9597082554,recurring,0.0013647685561253287,True,0.19345681369304657,9.412671566009521,17.678988933563232
D08,2019_Q4,0.9266080928582944,0.9808312929999999,recurring,0.044701482814001436,True,0.14498525857925415,8.319026708602905,16.599052906036377
D09,2020_Q1,0.9211053809477474,0.9772314722,recurring,0.031779210940671154,True,0.19749444723129272,8.431828737258911,17.043869972229004
D10,2020_Q2,0.9239499652256302,0.9785988889999999,recurring,0.01848757553185587,True,0.2239053100347519,8.686269760131836,18.169439554214478
D11,2020_Q3,0.9331486793945989,0.983028539,recurring,0.012706289825498374,True,0.18468979001045227,8.57990574836731,18.599327087402344
D12,2020_Q4,0.9388221727373947,0.9847569588,recurring,0.008953845541860628,True,0.1561347246170044,8.756068229675293,19.11603045463562
D13,2021_Q1,0.9454520213789206,0.9872874836000001,sudden,0.011157719394073617,True,0.1098858192563057,8.784329414367676,19.677125215530396
D14,2021_Q2,0.9473642489100278,0.9882346323999999,recurring,0.016175368211808983,True,0.14118395745754242,8.818883657455444,23.798813819885254
D15,2021_Q3,0.9479752753783977,0.9888092660000001,recurring,0.007143510886000515,True,0.12266586720943451,8.7617347240448,23.730509519577026
D16,2021_Q4,0.9499750772604925,0.9891172356000001,recurring,0.007796642996658831,True,0.30649828910827637,8.983495235443115,17.272647380828857
D17,2022_Q1,0.9425011259570635,0.9856677064,recurring,0.012598854434601736,True,0.1948176473379135,8.555541515350342,17.190374851226807
D18,2022_Q2,0.944249020374212,0.9868463398,recurring,0.017106621637690167,True,0.16381298005580902,8.83536434173584,17.095691442489624
D19,2022_Q3,0.9447960900568865,0.9866099074,recurring,0.010890605881920257,True,0.13583584129810333,8.703738927841187,17.210077047348022
D20,2022_Q4,0.9447320219797722,0.9867543022,recurring,0.010560371865790064,True,0.14176304638385773,8.832346677780151,17.297464609146118
D21,2023_Q1,0.9442328698373336,0.9867276232,recurring,0.010249295497409383,True,0.22719773650169373,8.866212368011475,17.336318254470825
D22,2023_Q2,0.9436773876108328,0.9872901356,recurring,0.015367401834354588,True,0.04154355823993683,8.738437414169312,17.138041019439697
D23,2023_Q3,0.9447383891828336,0.9873620626,recurring,0.013364062081837158,True,0.5948809385299683,8.7421293258667,16.89896845817566
D24,2023_Q4,0.9437553569845226,0.9865593366000001,recurring,0.007649384943417048,True,0.23177208006381989,8.739408016204834,16.897061824798584
