method,window,a_diag,a_final
DRC-CL (full),D03,0.9553902600396976,0.9531367653469662
DRC-CL (full),D04,0.9555829302246392,0.954292901781735
DRC-CL (full),D05,0.9539378901872899,0.9529849417258642
DRC-CL (full),D06,0.9545563693120422,0.9522792656523416
DRC-CL (full),D07,0.90972265698366,0.9499420465014909
DRC-CL (full),D08,0.9303807551378047,0.9482988062843863
DRC-CL (full),D09,0.9207046744963833,0.9359287247493311
DRC-CL (full),D10,0.9233744501337715,0.9374559272898222
DRC-CL (full),D11,0.9328810609282133,0.937049109721121
DRC-CL (full),D12,0.935443866141963,0.9381941185671828
DRC-CL (full),D13,0.9425121643539377,0.9527051840676519
DRC-CL (full),D14,0.9461747292708094,0.9523630052070419
DRC-CL (full),D15,0.9472715214744574,0.9526017516743946
DRC-CL (full),D16,0.9501567585917686,0.9532656541222191
DRC-CL (full),D17,0.9423521589409232,0.9507447629220818
DRC-CL (full),D18,0.9452297344082299,0.9500464179192921
DRC-CL (full),D19,0.9453975966509722,0.9512573796267911
DRC-CL (full),D20,0.9470073267699751,0.9507120253164557
DRC-CL (full),D21,0.9477690970487741,0.9515200664596396
DRC-CL (full),D22,0.945059404835584,0.951245808563883
DRC-CL (full),D23,0.9506843319805841,0.9531154097451838
DRC-CL (full),D24,0.94975078529881,0.9533954463632227
