aa_f1,bwt,fwt,forgetting,degrad,f1_old,f1_first,f1_last,aa_f1_char,aa_f1_word,method,time_s
0.8661,0.0,0.0,0.0,0.126,0.9617,0.9617,0.8357,0.8679,0.0197,Static-CNN,49.7
0.949,-0.0079,0.0,0.0103,0.0145,0.9411,0.9617,0.9472,0.9434,0.0065,SW-Retrain,335.7
0.9617,0.0001,0.0,0.0032,-0.0031,0.9603,0.9617,0.9648,0.9638,0.0207,EWC-only,239.0
0.9492,0.0119,0.0,0.0006,-0.0009,0.9583,0.9617,0.9627,0.9628,0.0003,iCaRL,225.7
0.9322,-0.0089,0.0,0.01,0.037,0.9368,0.9617,0.9247,0.9256,0.0032,GDumb,70.7
0.9483,0.0019,0.0,0.002,0.0096,0.9556,0.9617,0.9521,0.9521,0.0071,CNN + LoRA Update,175.7
0.9498,0.0019,0.0,0.002,0.0083,0.9582,0.9617,0.9534,0.9537,0.0056,CNN + LoRA + SER,176.3
0.9482,-0.0003,0.0,0.004,0.0112,0.9522,0.9617,0.9505,0.9499,0.002,CNN + LoRA + SER + EWC,199.2
0.9472,0.0027,0.0,0.0009,0.0113,0.9567,0.9617,0.9504,0.9518,0.0046,DRC-CL,506.1
