method,seed,aa_f1,bwt,forgetting,degrad
DERPP,42,0.9511,0.0046,0.0004,0.0032
DERPP,123,0.9515,0.0046,0.0006,0.0033
DERPP,456,0.9508,0.0035,0.0012,0.0058
DERPP,789,0.9502,0.0038,0.0008,0.0047
DERPP,2024,0.9505,0.0045,0.0003,0.0038
AGEM,42,0.9621,0.0022,0.0014,-0.0029
AGEM,123,0.9623,-0.0008,0.0041,-0.0018
AGEM,456,0.9633,0.0012,0.0014,-0.0027
AGEM,789,0.9621,0.002,0.0014,-0.0031
AGEM,2024,0.9619,0.0019,0.0016,-0.0286
